scene,link,bin_seconds,participant,elapsed_s,latency_ms,q1_ms,q3_ms,n_available
supermarket,EyeTracking→PC,1,P2,74.500000,2.370000,,,1
supermarket,EyeTracking→PC,1,P2,75.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P2,76.500000,2.200000,,,1
supermarket,EyeTracking→PC,1,P2,77.500000,2.145000,,,1
supermarket,EyeTracking→PC,1,P2,78.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P2,79.500000,2.160000,,,1
supermarket,EyeTracking→PC,1,P2,80.500000,2.105000,,,1
supermarket,EyeTracking→PC,1,P2,81.500000,2.075000,,,1
supermarket,EyeTracking→PC,1,P2,82.500000,1.995000,,,1
supermarket,EyeTracking→PC,1,P2,83.500000,2.025000,,,1
supermarket,EyeTracking→PC,1,P2,84.500000,1.950000,,,1
supermarket,EyeTracking→PC,1,P2,85.500000,1.960000,,,1
supermarket,EyeTracking→PC,1,P2,86.500000,1.900000,,,1
supermarket,EyeTracking→PC,1,P2,87.500000,1.805000,,,1
supermarket,EyeTracking→PC,1,P2,88.500000,1.890000,,,1
supermarket,EyeTracking→PC,1,P2,89.500000,1.925000,,,1
supermarket,EyeTracking→PC,1,P2,90.500000,2.310000,,,1
supermarket,EyeTracking→PC,1,P2,91.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P2,92.500000,2.250000,,,1
supermarket,EyeTracking→PC,1,P2,93.500000,2.200000,,,1
supermarket,EyeTracking→PC,1,P2,94.500000,2.195000,,,1
supermarket,EyeTracking→PC,1,P2,95.500000,1.985000,,,1
supermarket,EyeTracking→PC,1,P2,96.500000,2.105000,,,1
supermarket,EyeTracking→PC,1,P2,97.500000,2.145000,,,1
supermarket,EyeTracking→PC,1,P2,98.500000,2.075000,,,1
supermarket,EyeTracking→PC,1,P2,99.500000,2.160000,,,1
supermarket,EyeTracking→PC,1,P2,100.500000,2.250000,,,1
supermarket,EyeTracking→PC,1,P2,101.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P2,102.500000,2.350000,,,1
