序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
71,2026-08-21 09:50:57.048,2026-08-21 09:50:57.043,EyeTracking→PC,5.27,1.73,0.00,2.31,22.28,7.03,19.14,21.98,5.27,18.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,82.6,3.264,7
72,2026-08-21 09:50:57.051,2026-08-21 09:50:57.049,MoCap→PC,7.70,0.36,0.00,5.17,9.52,7.32,8.61,9.36,7.70,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
73,2026-08-21 09:50:57.059,2026-08-21 09:50:57.053,EyeTracking→PC,5.50,1.73,0.00,2.31,22.28,6.90,18.95,21.97,5.50,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,92.6,3.264,7
74,2026-08-21 09:50:57.061,2026-08-21 09:50:57.024,PC<->VR 状态同步,37.97,0.28,0.00,38.03,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,93.9,3.264,7
75,2026-08-21 09:50:57.063,2026-08-21 09:50:57.060,MoCap→PC,7.93,0.30,0.00,5.17,9.52,7.32,8.61,9.35,7.93,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
76,2026-08-21 09:50:57.066,2026-08-21 09:50:57.064,EyeTracking→PC,2.20,1.73,0.00,2.20,22.28,6.78,18.77,21.96,2.20,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,100.4,3.264,7
77,2026-08-21 09:50:57.073,2026-08-21 09:50:57.071,MoCap→PC,6.83,0.30,0.00,5.17,9.52,7.32,8.61,9.35,6.83,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
78,2026-08-21 09:50:57.078,2026-08-21 09:50:57.074,EyeTracking→PC,4.38,1.73,0.00,2.20,22.28,6.72,18.59,21.95,4.38,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,112.3,3.264,7
79,2026-08-21 09:50:57.084,2026-08-21 09:50:57.082,MoCap→PC,7.77,0.30,0.00,5.17,9.52,7.32,8.61,9.35,7.77,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
80,2026-08-21 09:50:57.089,2026-08-21 09:50:57.084,EyeTracking→PC,4.87,1.73,0.00,2.20,22.28,6.66,18.40,21.94,4.87,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,122.5,3.264,7
