frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
407,4.522222,-0.021549,0.862228,1.042738,1
408,4.533333,-0.021606,0.862211,1.042879,1
409,4.544444,-0.021637,0.862204,1.042929,1
410,4.555556,-0.021642,0.862229,1.042989,1
411,4.566667,-0.021727,0.862196,1.043094,1
412,4.577778,-0.021737,0.862164,1.043176,1
413,4.588889,-0.021723,0.862151,1.043256,1
414,4.600000,-0.021777,0.862141,1.043349,1
415,4.611111,-0.021797,0.862141,1.043430,1
416,4.622222,-0.021792,0.862160,1.043471,1
417,4.633333,-0.021861,0.862177,1.043562,1
418,4.644444,-0.021900,0.862172,1.043636,1
419,4.655556,-0.021933,0.862202,1.043719,1
420,4.666667,-0.021954,0.862179,1.043787,1
421,4.677778,-0.022000,0.862201,1.043847,1
422,4.688889,-0.022016,0.862194,1.043894,1
423,4.700000,-0.022032,0.862249,1.043947,1
424,4.711111,-0.022051,0.862270,1.044011,1
425,4.722222,-0.022034,0.862304,1.044061,1
426,4.733333,-0.022099,0.862307,1.044148,1
427,4.744444,-0.022111,0.862324,1.044195,1
428,4.755556,-0.022142,0.862344,1.044247,1
429,4.766667,-0.022163,0.862382,1.044295,1
430,4.777778,-0.022174,0.862417,1.044362,1
431,4.788889,-0.022211,0.862441,1.044422,1
432,4.800000,-0.022217,0.862450,1.044474,1
433,4.811111,-0.022213,0.862442,1.044529,1
434,4.822222,-0.022242,0.862434,1.044602,1
435,4.833333,-0.022253,0.862456,1.044650,1
436,4.844444,-0.022267,0.862460,1.044743,1
437,4.855556,-0.022286,0.862479,1.044792,1
438,4.866667,-0.022305,0.862496,1.044854,1
439,4.877778,-0.022318,0.862492,1.044928,1
440,4.888889,-0.022335,0.862501,1.044999,1
441,4.900000,-0.022323,0.862536,1.045074,1
442,4.911111,-0.022319,0.862534,1.045128,1
443,4.922222,-0.022274,0.862554,1.045224,1
444,4.933333,-0.022323,0.862525,1.045291,1
445,4.944444,-0.022310,0.862531,1.045392,1
446,4.955556,-0.022336,0.862541,1.045458,1
447,4.966667,-0.022325,0.862545,1.045563,1
448,4.977778,-0.022320,0.862590,1.045670,1
449,4.988889,-0.022353,0.862586,1.045762,1
450,5.000000,-0.022344,0.862597,1.045840,1
451,5.011111,-0.022372,0.862616,1.045961,1
452,5.022222,-0.022407,0.862631,1.046020,1
453,5.033333,-0.022393,0.862655,1.046134,1
454,5.044444,-0.022401,0.862650,1.046219,1
455,5.055556,-0.022435,0.862685,1.046324,1
456,5.066667,-0.022470,0.862666,1.046407,1
457,5.077778,-0.022483,0.862650,1.046475,1
458,5.088889,-0.022496,0.862681,1.046575,1
459,5.100000,-0.022498,0.862670,1.046656,1
460,5.111111,-0.022483,0.862727,1.046755,1
461,5.122222,-0.022496,0.862734,1.046833,1
